index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
326,CHEMBL3666494,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1nc2cnccc2[nH]1,inactive,436.519,4.9014,2,5,4.373659633
327,CHEMBL3666495,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1nnc(C(C)C)[nH]1,inactive,428.54,4.8716,2,5,4.521577812
328,CHEMBL3666496,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1nnc(-c2cccnc2)o1,active,464.529,5.0751,1,7,6
329,CHEMBL3666497,CCc1nnc(Nc2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)ccc2C)o1,intermediate,415.497,4.5755,1,6,5.997833938
330,CHEMBL3666498,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1nc2ncccc2[nH]1,inactive,436.519,4.9014,2,5,4.301029996
331,CHEMBL3666499,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1ncc[nH]1,inactive,385.471,4.3532,2,4,4.301029996
332,CHEMBL3666500,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1nc2nc(N(C)C)ccc2[nH]1,inactive,479.588,4.9674,2,6,4.301029996
333,CHEMBL3666501,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1nc2nc(NC(C)C)ccc2[nH]1,inactive,493.615,5.7217,3,6,4.48501419
334,CHEMBL3666502,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1cncc(C(=O)NC(C)C)c1,active,481.6,5.1633,2,5,6.327902142
335,CHEMBL3666503,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1cc(C(=O)NC2CC2)ccn1,active,479.584,4.9173,2,5,6.431798276
336,CHEMBL3666504,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1ccc(C(=O)NC2CC2)cn1,active,479.584,4.9173,2,5,6.568636236
