"molecule_ChemBL_ID	canonical_Smiles	MW	LogP	pIC50"
"CHEMBL178957	O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1	375.27	4.04	6.7"
"CHEMBL2159567	N#Cc1ccc(C2=NOC3CCCCC23)c(C(F)(F)F)c1	294.28	3.87	5.94"
"CHEMBL455566	CCCCSc1ccc(C#N)c(OC)c1	221.32	3.46	7.08"
"CHEMBL2316545	NS(=O)(=O)c1ccc(OCCSc2nc3ccccc3[nH]2)cc1	349.44	2.38	4.21"
"CHEMBL469333	COc1cccc(OC)c1Oc1ccc(C#N)c(C(F)(F)F)c1	323.27	4.39	6.8"
"CHEMBL513195	CCc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1	291.27	4.93	6.45"
"CHEMBL499137	Cc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1	277.24	4.68	6.13"
"CHEMBL490955	Cc1ccccc1Oc1ccc(C#N)cc1Cl	243.69	4.31	7.34"
"CHEMBL512837	COc1ccc(C)cc1Oc1ccc(C#N)c(C(F)(F)F)c1	307.27	4.69	6.99"
"CHEMBL4542153	C[C@](O)(CN1CCc2cc(F)ccc21)C(=O)Nc1ccc(C#N)c(Cl)c1	373.81	3.1	6.89"
"CHEMBL4438211	C[C@](O)(CN1CCc2c(F)cccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	407.37	3.47	7.23"
"CHEMBL4443566	C[C@](O)(CN1CCc2ccccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	389.38	3.33	6.85"
"CHEMBL4475765	C[C@@](O)(Cn1ccc2cc(F)ccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	405.35	4.06	6.22"
"CHEMBL182412	O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	321.3	3.41	9.4"
"CHEMBL183882	O=C1[C@@H]2C3CCCC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	337.34	4.02	6.18"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.76"
"CHEMBL63560	C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.57"
"CHEMBL182412	O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	321.3	3.41	7.18"
"CHEMBL183882	O=C1[C@@H]2C3CCCC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	337.34	4.02	7.64"
"CHEMBL183882	O=C1[C@@H]2C3CCCC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	337.34	4.02	6.75"
"CHEMBL3262347	CC(C)(O)c1cn(-c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)nn1	316.24	2.42	4.35"
"CHEMBL2159549	Fc1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F	315.31	4.92	5.23"
"CHEMBL2159539	N#Cc1ccc(C2=NOC3CCCCCC23)c(C(F)(F)F)c1	308.3	4.26	6"
"CHEMBL2159539	N#Cc1ccc(C2=NOC3CCCCCC23)c(C(F)(F)F)c1	308.3	4.26	5.94"
"CHEMBL2159573	Fc1ccc(C2=NOC3CCCCC23)c(C(F)(F)F)c1	287.26	4.14	5.94"
"CHEMBL2159572	Fc1ccc(C2=NOC3CCCCC23)cc1C(F)(F)F	287.26	4.14	5.96"
"CHEMBL2159569	O=[N+]([O-])c1ccc(C2=NOC3CCCCC23)cc1C(F)(F)F	314.26	3.91	6.92"
"CHEMBL2159732	O=[N+]([O-])c1ccc(C2=NO[C@H]3CCC[C@@H]23)cc1C(F)(F)F	300.24	3.52	5.6"
"CHEMBL251552	N#Cc1ccc(OC2CCCCC2C#N)cc1C(F)(F)F	294.28	4.04	7.89"
"CHEMBL491	CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	292.21	2.32	6.46"
"CHEMBL178333	O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1	354.28	3.15	7.92"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.14"
"CHEMBL368906	O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1	352.27	2.93	6.92"
"CHEMBL178333	O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1	354.28	3.15	6.94"
"CHEMBL367364	O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	309.29	3.24	6.5"
"CHEMBL178333	O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1	354.28	3.15	7.92"
"CHEMBL806	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	276.21	3.21	6.81"
"CHEMBL491	CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	292.21	2.32	6.7"
"CHEMBL3410851	CC1(O)C[C@@H]2CC[C@@H](C1)N2c1ccc(C#N)c(C(F)(F)F)c1	310.32	3.46	7.53"
"CHEMBL491	CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	292.21	2.32	6.52"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.7"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.26"
"CHEMBL399439	N#Cc1ccc(O[C@H]2CCCC[C@@H]2C#N)cc1C(F)(F)F	294.28	4.04	6.71"
"CHEMBL501627	N#Cc1ccc(C2CCCCC2O)cc1C(F)(F)F	269.27	3.6	7.05"
"CHEMBL458084	N#Cc1ccc([C@H]2CCCC[C@H]2O)cc1C(F)(F)F	269.27	3.6	7.37"
"CHEMBL465539	Cc1ccc(Oc2ccc(C#N)c(C(F)(F)F)c2)cc1	277.24	4.68	5.27"
"CHEMBL491	CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	292.21	2.32	7.51"
