Molecule_ChemBL_ID,Canonical Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ring Systems 2 [idcode]
CHEMBL3410851,CC1(O)C[C@@H]2CC[C@@H](C1)N2c1ccc(C#N)c(C(F)(F)F)c1,310.32,0,3.46,IC50,'=',29.3,nM,7.53,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',300,nM,6.52,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',200,nM,6.7,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',550,nM,6.26,gFp@DiTt@@@
CHEMBL399439,N#Cc1ccc(O[C@H]2CCCC[C@@H]2C#N)cc1C(F)(F)F,294.28,0,4.04,IC50,'=',196,nM,6.71,gFp@DiTt@@@
CHEMBL501627,N#Cc1ccc(C2CCCCC2O)cc1C(F)(F)F,269.27,0,3.6,IC50,'=',90,nM,7.05,gFp@DiTt@@@
CHEMBL458084,N#Cc1ccc([C@H]2CCCC[C@H]2O)cc1C(F)(F)F,269.27,0,3.6,IC50,'=',43,nM,7.37,gFp@DiTt@@@
CHEMBL465539,Cc1ccc(Oc2ccc(C#N)c(C(F)(F)F)c2)cc1,277.24,0,4.68,IC50,'=',5330,nM,5.27,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',31,nM,7.51,gFp@DiTt@@@
CHEMBL480960,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1CO,337.38,0,3.76,IC50,'=',2100,nM,5.68,gFp@DiTt@@@
CHEMBL367364,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,309.29,0,3.24,IC50,'=',7,nM,8.15,gFp@DiTt@@@
CHEMBL182186,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])cc1,284.27,0,1.91,IC50,'=',30,nM,7.52,gFp@DiTt@@@
CHEMBL2386395,O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2cccc(O)c12,283.24,0,3.07,IC50,'=',360,nM,6.44,gFp@DiTt@@@
CHEMBL3238281,C[C@](O)(COc1ccc(C(F)(F)F)cc1)C(=O)N1CCc2c(C#N)cccc21,390.36,0,3.3,IC50,'=',33.1,nM,7.48,gFp@DiTt@@@
CHEMBL238365,N#Cc1ccc(-c2ccccc2Cl)cc1C(F)(F)F,281.66,0,4.9,IC50,'=',9.8,nM,8.01,gFp@DiTt@@@
CHEMBL448454,COc1cc(Sc2c(C)cccc2C)ccc1C#N,269.37,0,4.33,IC50,'=',43,nM,7.37,gFp@DiTt@@@
CHEMBL504110,COc1cc(SCC2CC2)ccc1C#N,219.31,0,3.07,IC50,'=',169,nM,6.77,gFp@DiTt@@@
CHEMBL503687,CC(C)CCSc1ccc(C#N)c(C(F)(F)F)c1,273.32,0,4.72,IC50,'=',519,nM,6.29,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',4600,nM,5.34,gFp@DiTt@@@
CHEMBL4743529,CC1(C)NC(=O)N(Cc2ccc(F)c(C(F)(F)F)c2)C1=O,304.24,0,2.67,IC50,'=',4200,nM,5.38,gFp@DiTt@@@
CHEMBL235159,COc1ccc(-c2ccc(C#N)c(C(F)(F)F)c2)cc1,277.25,0,4.25,IC50,'=',56.7,nM,7.25,gFp@DiTt@@@
CHEMBL238366,COc1ccccc1-c1ccc(C#N)c(C(F)(F)F)c1,277.25,0,4.25,IC50,'=',37,nM,7.43,gFp@DiTt@@@
CHEMBL2441094,COc1cccc(C(=O)Nc2ccc(Oc3ccc(O)cc3)c(C)c2)c1,349.39,0,4.75,IC50,'=',220,nM,6.66,gFp@DiTt@@@
