level_0,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
142,142,CHEMBL3661700,CCC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(C#N)cc5)CC4)c(C)cc3C)[nH]c2C1,active,495.6270000000003,4.879720000000004,1,4,7.522878745280337
143,143,CHEMBL3661701,Cc1cc(C)c(-c2nc3c([nH]2)CN(C(=O)C(C)C)CC3)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,509.6540000000004,5.125720000000005,1,4,7.6020599913279625
144,144,CHEMBL3661702,Cc1ccc(C2CCN(C(=O)c3cc(-c4nc5c([nH]4)COCC5)c(C)cc3C)CC2)cc1,active,429.56400000000036,5.094460000000005,1,3,6.045757490560675
145,145,CHEMBL3661703,Cc1cc(C)c(-c2nc3c([nH]2)CCCC3)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,438.5750000000002,5.4638200000000055,1,3,6.657577319177793
146,146,CHEMBL3661704,Cc1cc(-c2nc3c([nH]2)COCC3)cc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)c1C,inactive,440.54700000000025,4.657720000000004,1,4,4.301029995663981
147,147,CHEMBL3661705,N#Cc1ccc(C2CCN(C(=O)c3cccc(-c4nc5c([nH]4)COCC5)c3Cl)CC2)cc1,inactive,446.93800000000033,4.6942800000000044,1,4,4.301029995663981
148,148,CHEMBL3661706,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nc2c([nH]1)CN(C(C)C)CC2,active,467.61700000000036,5.043100000000004,1,4,7.070581074285707
149,149,CHEMBL3661707,COC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(C#N)cc5)CC4)ccc3C)[nH]c2C1,active,483.5720000000003,4.401100000000004,1,5,7.455931955649724
150,150,CHEMBL3661708,Cc1cc(C)c(-c2nc3c([nH]2)CN(C)CC3)cc1C(=O)N1CCC(c2ccc(C(F)(F)F)cc2)CC1,active,496.5770000000002,5.720040000000005,1,3,6.886056647693163
151,151,CHEMBL3661709,Cc1cc(C)c(-c2nc3cc(N4CCCC4)ncc3[nH]2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,522.6280000000003,5.814620000000005,1,5,7.823908740944319
152,152,CHEMBL3661710,Cc1cc(F)c(-c2nc3cc(N4CCC4)ncc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,494.57400000000035,5.174000000000004,1,5,6.045757490560675
153,153,CHEMBL3661711,Cc1cc(C)c(-c2nc3cc(C(=O)O)ccc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,intermediate,478.55200000000036,5.4364200000000045,2,4,5.826813731587726
154,154,CHEMBL3661712,Cc1cc(C)c(-c2nc3ccncc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,intermediate,435.5310000000003,5.133220000000004,1,4,5.978810700930062
155,155,CHEMBL3661713,Cc1cc(C)c(-c2nc3cc(C(=O)N(C)C)ccc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,505.62200000000036,5.440020000000005,1,4,6.6020599913279625
156,156,CHEMBL3661714,Cc1cc(C)c(-c2nc3cc(C(N)=O)ccc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,477.5680000000004,4.837120000000003,2,4,6.552841968657781
157,157,CHEMBL3661715,Cc1cc(C)c(-c2nc3cc(C#N)ccc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,459.55300000000034,5.609900000000005,1,4,6.8696662315049934
158,158,CHEMBL3661716,Cc1cc(C)c(-c2nc3ccnc(C4COC4)c3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,intermediate,491.59500000000037,5.2470200000000045,1,5,5.887730231582729
159,159,CHEMBL3661717,COc1nccc2nc(-c3cc(C(=O)N4CCC(c5ccc(C#N)cc5)CC4)c(C)cc3C)[nH]c12,active,465.55700000000024,5.1418200000000045,1,5,6.886056647693163
160,160,CHEMBL3661718,Cc1cc(C)c(-c2nc3cc[nH]c(=O)c3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,451.5300000000003,4.426520000000003,2,4,6.610833915635467
